Place_Id,Place_Name,Description,Category,City,Link_Image,Cleaned
99,Kampung Wisata Kadipaten,Kampung Wisata Kadipaten secaara kewilayahan berada di Kelurahan Kadipaten Kecamatan Kraton. Keberadaannya juga berfungsi sebagai penyangga obyek wisata Kraton Kasultanan Yogyakarta. Sesuai dengan potensi yang ada Kampung Wisata Kadipaten kemudian mengangkat tema “Art and Heritage Turism” sebagai brandinngnya. Kawasan kampung wisata ini menjadi sangat unik dan spesifik karena disana banyak terdapat bangunan situs cagar busaya terutama bangunan Dalem Pangeran. Nama Kadipaten sendiri konon berasal dari nama kawasan yang disana banyak terdapat bangunan situs cagar budaya terutama bangunan Dalem Pangeran. Nama Kadipaten konon berasal dari nama kawasan yang disana banyak ditinggali oleh kerabat Kraton yang sekaligus sebagai pengagung Kraton.,Budaya,Yogyakarta,https://loka-pedia.com/storage/2023/10/AF1QipPk3_31aPkD2M3506YXX3Hj3OZc2H3tyX0l38-Yw800-h600-k-no.jpeg,kampung wisata kadipaten secaara kewilayahan kelurahan kadipaten kecamatan kraton keberadaannya berfungsi penyangga obyek wisata kraton kasultanan yogyakarta sesuai potensi kampung wisata kadipaten mengangkat tema art and heritage turism brandinngnya kawasan kampung wisata unik spesifik disana bangunan situs cagar busaya bangunan dalem pangeran nama kadipaten konon berasal nama kawasan disana bangunan situs cagar budaya bangunan dalem pangeran nama kadipaten konon berasal nama kawasan disana ditinggali kerabat kraton pengagung kraton
100,Taman Budaya Yogyakarta,"Taman Budaya Yogyakarta (TBY) (Hanacaraka:ꦠꦩꦤ꧀​ꦧꦸꦢꦪ​ꦔꦪꦺꦴꦒꦾꦏꦂꦠ, bahasa Jawa: Taman Budaya Ngayogyakarta) adalah sarana wisata yang terletak di Jalan Sri Wedani No 1, Yogyakarta. TBY memiliki kompleks gedung yang berfungsi sebagai tempat pameran, pertunjukan, dan berbagai kegiatan seni lainnya. TBY merupakan Unit Pelaksana Teknis Dinas (UPTD) pada Dinas Kebudayaan Provinsi Daerah Istimewa Yogyakarta. Fungsi dari TBY adalah sebagai pusat budaya termasuk di dalamnya pengembangan dan pengolahan pusat dokumentasi, etalase, dan informasi seni budaya dan pariwisata.
",Budaya,Yogyakarta,https://darknetmarkets.co/wp-content/uploads/2020/11/Taman-Budaya-Jogja.jpg,taman budaya yogyakarta tby hanacaraka bahasa jawa taman budaya ngayogyakarta sarana wisata terletak jalan sri wedani no 1 yogyakarta tby memiliki kompleks gedung berfungsi pameran pertunjukan kegiatan seni tby unit pelaksana teknis dinas uptd dinas kebudayaan provinsi daerah istimewa yogyakarta fungsi tby pusat budaya dalamnya pengembangan pengolahan pusat dokumentasi etalase informasi seni budaya pariwisata
101,Kampung Wisata Sosro Menduran,"Kampung wisata Sosromenduran merupakan kampung wisata yang sangat unik karena berbasis multi culture, akomodasi dan belanja sekaligus berfungsi sebagai penyangga kawasan Objek Wisata Malioboro. Secara kewilayahan kampung wisata sosromenduran berada di Kelurahan Sosromenduran Kecamatan Gedongtengen. Letaknya sangat strategis karena berada disamping dikawasan Malioboro juga sangat dekat dengan Stasiun Kereta Api Tugu serta banyak terdapat fasilitas kepariwisataan baik hotel, homestay, warung dan restoran, travel, money changer, coffee, rental mobil, sepeda motor bahkan sepeda ontel dan yang sangat menarik di kampung wisata Sosromenduran juga terdapat banyak produsen souvenir kaos oblong yang juga banyak dijual di sepanjang jalan malioboro",Budaya,Yogyakarta,https://ik.imagekit.io/tvlk/blog/2022/09/Yogyakarta-mobile.jpg?tr=dpr-3,kampung wisata sosromenduran kampung wisata unik berbasis multi culture akomodasi belanja berfungsi penyangga kawasan objek wisata malioboro kewilayahan kampung wisata sosromenduran kelurahan sosromenduran kecamatan gedongtengen letaknya strategis disamping dikawasan malioboro stasiun kereta api tugu fasilitas kepariwisataan hotel homestay warung restoran travel money changer coffee rental mobil sepeda motor sepeda ontel menarik kampung wisata sosromenduran produsen souvenir kaos oblong dijual jalan malioboro
102,Monumen Batik Yogyakarta,"Perhatian pemerintah megenai kebudayan batik ini sangat besar, hal ini dikarenakan kebudayaannya bersinggungan langsung dengan masyarakat Jawa. Memperingati Hari Batik Nasional pada hari ini, traveler bisa berjalan-jalan ke monumen batik yang ada di Jogja. Perhatian pemerintah megenai kebudayan batik ini sangat besar, hal ini dikarenakan kebudayaannya bersinggungan langsung dengan masyarakat Jawa. Memperingati Hari Batik Nasional pada hari ini, traveler bisa berjalan-jalan ke monumen batik yang ada di Jogja.",Budaya,Yogyakarta,https://img2.beritasatu.com/cache/beritasatu/910x580-2/1414616219.jpg,perhatian pemerintah megenai kebudayan batik kebudayaannya bersinggungan langsung masyarakat jawa memperingati batik nasional traveler berjalanjalan monumen batik jogja perhatian pemerintah megenai kebudayan batik kebudayaannya bersinggungan langsung masyarakat jawa memperingati batik nasional traveler berjalanjalan monumen batik jogja
103,Tugu Pal Putih Jogja,"Tugu Yogyakarta (Jawa: , Tugu Ngayogyakarta) adalah sebuah landmark bersejarah yang penting di kota Yogyakarta, Indonesia. Tugu berarti tugu, yang biasanya dibangun sebagai simbol suatu kawasan yang mengkonseptualisasikan ciri-ciri kawasan tersebut. Karena latar belakang sejarahnya, Tugu Yogyakarta telah menjadi ikon sejarah kota. Tugu Yogyakarta terletak tepat di tengah persimpangan antara Jalan Mangkubumi, Jalan Sudirman, Jalan A.M Sangaji, dan Jalan Dipenogoro kota.
",Taman Hiburan,Yogyakarta,https://tse2.mm.bing.net/th?id=OIP.ouB40X3lKzZe5RfaKlHa2QHaE7&pid=Api&P=0&h=180,tugu yogyakarta jawa tugu ngayogyakarta landmark bersejarah kota yogyakarta indonesia tugu tugu dibangun simbol kawasan mengkonseptualisasikan ciriciri kawasan latar sejarahnya tugu yogyakarta ikon sejarah kota tugu yogyakarta terletak persimpangan jalan mangkubumi jalan sudirman jalan am sangaji jalan dipenogoro kota
104,Tebing Breksi,"Tebing Breksi merupakan tempat wisata yang berada di wilayah Kabupaten Sleman. Lokasinya berada di sebelah selatan Candi Prambanan dan berdekatan dengan Candi Ijo serta Kompleks Keraton Boko. Lokasi Wisata Tebing Breksi tepatnya berada di Desa Sambirejo, Prambanan, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55572.",Budaya,Yogyakarta,https://garasijogja.com/wp-content/uploads/2016/11/tebing-breksi-@catherine_cathy.jpg,tebing breksi wisata wilayah kabupaten sleman lokasinya sebelah selatan candi prambanan berdekatan candi ijo kompleks keraton boko lokasi wisata tebing breksi tepatnya desa sambirejo prambanan kabupaten sleman daerah istimewa yogyakarta 55572
105,Candi Donotirto,"Walaupun melekat dengan kata candi, Candi Donotirto bukanlah peninggalan jaman Hindu-Buddha di Yogyakarta. Tempat ini dibangun oleh pemerintah Belanda. Ada dua bagian, yaitu bagian barat untuk kaum adam dan bagian timur untuk kaum hawa. Masing-masing dialiri oleh 5 buah pancuran air yang bersumber dari Sungai Winogo, berarti ada 10 buah pancuran di sana. Hingga kini, tempat ini tetap dirawat oleh warga sekitar walaupun digunakan sebagai WC umum. Oleh karenanya, janganlah berat tangan untuk menyisihkan uang Anda sebagai ganti biaya perawatan dan kebersihan tempat ini.",Budaya,Yogyakarta,https://tse3.mm.bing.net/th?id=OIP.gi6uTehCb-LrkIRMBZE-YgHaFl&pid=Api&P=0&h=180,melekat candi candi donotirto peninggalan jaman hindubuddha yogyakarta dibangun pemerintah belanda barat kaum adam timur kaum hawa masingmasing dialiri 5 buah pancuran air bersumber sungai winogo 10 buah pancuran dirawat warga wc berat tangan menyisihkan uang ganti biaya perawatan kebersihan
106,Kawasan Malioboro,"Jalan Malioboro adalah nama salah satu kawasan jalan dari tiga jalan di Kota Yogyakarta yang membentang dari Tugu Yogyakarta hingga ke perempatan Kantor Pos Yogyakarta. Secara keseluruhan terdiri dari Jalan Margo Utomo, Jalan Malioboro, dan Jalan Margo Mulyo. Jalan ini merupakan poros Garis Imajiner Kraton Yogyakarta.",Taman Hiburan,Yogyakarta,https://jogjakeren.com/wp-content/uploads/2021/11/Malioboro-2.jpg,jalan malioboro nama salah kawasan jalan jalan kota yogyakarta membentang tugu yogyakarta perempatan kantor pos yogyakarta jalan margo utomo jalan malioboro jalan margo mulyo jalan poros garis imajiner kraton yogyakarta
107,Bangsal Pagelaran,"Bangunan utama adalah Bangsal Pagelaran yang dahulu dikenal dengan nama Tratag Rambat. Pada zamannya Pagelaran merupakan tempat para penggawa kesultanan menghadap Sultan pada upacara resmi. Sekarang sering digunakan untuk even-even pariwisata, religi, dan lain-lain disamping untuk upacara adat keraton. Sepasang Bangsal Pemandengan terletak di sisi jauh sebelah timur dan barat Pagelaran. Dahulu tempat ini digunakan oleh Sultan untuk menyaksikan latihan perang di Alun-alun Lor.
",Budaya,Yogyakarta,https://jogjacar.com/wp-content/uploads/2021/08/pelataran-keraton-1024x612.jpg,bangunan utama bangsal pagelaran dikenal nama tratag rambat zamannya pagelaran penggawa kesultanan menghadap sultan upacara resmi eveneven pariwisata religi lainlain disamping upacara adat keraton sepasang bangsal pemandengan terletak sisi sebelah timur barat pagelaran sultan menyaksikan latihan perang alunalun lor
108,Embung Tambakboyo,"Embung atau waduk Tambakboyo adalah konservasi air yang terletak di Dusun Tambakboyo, Kecamatan Depok, Kabupaten Sleman, Yogyakarta. Waduk ini memanfaatkan sumber air dari sungai Tambak Bayan dan sungai Buntung dengan luasan 7,8 ha. Waduk ini dibangun sejak tahun 2003 hingga 2008 dan diresmikan setahun kemudian.",Taman Hiburan,Yogyakarta,https://ksmtour.com/media/images/articles16/embung-tambakboyo-yogyakarta.jpg,embung waduk tambakboyo konservasi air terletak dusun tambakboyo kecamatan depok kabupaten sleman yogyakarta waduk memanfaatkan sumber air sungai tambak bayan sungai buntung luasan 78 ha waduk dibangun 2003 2008 diresmikan setahun
109,Hutan Pinus Pengger,"Hutan Pinus Pengger (bahasa Jawa: ꦄꦭꦱ꧀​ꦥꦶꦤꦸꦱ꧀​ꦥꦼꦁ​ꦒꦼꦂ​, translit. Alas Pinus​ Pěnggěr) merupakan salah satu objek wisata andalan Kabupaten Bantul. Wisata alam ini berlokasi di Sendangsari, Desa Terong, Kec. Dlingo, Kabupaten Bantul, Daerah Istimewa Yogyakarta.\nHutan Pinus Pengger mudah dijangkau karena terletak dipinggir jalan Patuk-Dlingo km 4,5.\nWalaupun masih terdengar asing, dikalangan penyuka jalan-jalan objek wisata, Hutan Pinus Pengger terbilang cukup populer . Tempat ini masih dirasa asing karena baru dibuka secara resmi pada tanggal 7 April 2016. Hutan Pinus ini sangat digemari oleh para pencipta objek wisata, karena objek wisata ini menyuguhkan pemandangan alam yang sangat indah.",Taman Hiburan,Yogyakarta,https://blog.bookingtogo.com/wp-content/uploads/2021/09/wisata-hutan-pinus-pengger-1024x768.jpg,hutan pinus pengger bahasa jawa translit alas pinus pnggr salah objek wisata andalan kabupaten bantul wisata alam berlokasi sendangsari desa terong kec dlingo kabupaten bantul daerah istimewa yogyakartanhutan pinus pengger mudah dijangkau terletak dipinggir jalan patukdlingo km 45nwalaupun terdengar asing dikalangan penyuka jalanjalan objek wisata hutan pinus pengger terbilang populer dirasa asing dibuka resmi tanggal 7 april 2016 hutan pinus digemari pencipta objek wisata objek wisata menyuguhkan pemandangan alam indah
110,Monumen Serangan Umum 1 Maret,"Monumen Serangan Umum 1 Maret berada di area sekitar Museum Benteng Vredeburg yaitu tepat di depan Kantor Pos Besar Yogyakarta. Monumen ini dibangun untuk memperingati serangan tentara Indonesia terhadap Belanda pada tanggal 1 Maret 1949. Ketika itu Negara Indonesia telah dianggap lumpuh dan tidak ada oleh Belanda. Untuk membuktikan bahwa Negara Indonesia masih ada maka dilakukan serangan besar-besaran. Serangan ini dilakukan oleh Tentara Nasional Indonesia (TNI) yang dipimpin oleh Letnan Kolonel Soeharto, Komandan Brigade 10 daerah Wehrkreise III.",Taman Hiburan,Yogyakarta,https://live.staticflickr.com/8191/8105152535_7418ac8b3e_b.jpg,monumen serangan 1 maret area museum benteng vredeburg kantor pos yogyakarta monumen dibangun memperingati serangan tentara indonesia belanda tanggal 1 maret 1949 negara indonesia dianggap lumpuh belanda membuktikan negara indonesia serangan besarbesaran serangan tentara nasional indonesia tni dipimpin letnan kolonel soeharto komandan brigade 10 daerah wehrkreise iii
111,Puncak Pinus Becici,"Puncak Pinus Becici atau Puncak Becici merupakan objek wisata yang berada di Desa Muntuk, Kecamatan Dlingo, Kabupaten Bantul, Yogyakarta. Pemandangan di kawasan ini sangat indah dengan hamparan perbukitan yang banyak di tumbuhi pohon pinus serta dapat melihat pesona Kota Yogyakarta dari ketinggian dengan gardu pandang. Dari bagian utara dapat melihat Candi Prambanan, bagian selatan terlihat garis lurus yang merupakan Pantai Selatan serta dapat melihat Gunung Merapi dan Gunung Sindoro.",Taman Hiburan,Yogyakarta,https://www.joglowisata.com/wp-content/uploads/2017/12/wisata-jogja-puncak-becici.jpg,puncak pinus becici puncak becici objek wisata desa muntuk kecamatan dlingo kabupaten bantul yogyakarta pemandangan kawasan indah hamparan perbukitan tumbuhi pohon pinus pesona kota yogyakarta ketinggian gardu pandang utara candi prambanan selatan garis lurus pantai selatan gunung merapi gunung sindoro
112,Bukit Bintang Yogyakarta,"Bukit Bintang merupakan salah satu lokasi nongkrong favorit di Yogyakarta. Saat malam tiba, pemandangan Yogyakarta sangatlah indah!Terletak di perbatasan Bantul dan Gunungkidul, siapa pun yang berkunjung ke kawasan ini dapat menikmati taburan gemintang di langit malam serta kerlip benderang lampu kota dari ketinggian.Kota ini memiliki Bukit Bintang yang selalu ramai dipadati kawula muda untuk menikmati keindahan malam. Bukit Bintang menjadi tempat yang sempurna untuk menikmati senja hingga malam tiba.
",Taman Hiburan,Yogyakarta,https://www.alodiatour.com/wp-content/uploads/2018/05/Wisata-Bukit-Bintang-Jogja.png,bukit bintang salah lokasi nongkrong favorit yogyakarta malam pemandangan yogyakarta indahterletak perbatasan bantul gunungkidul berkunjung kawasan menikmati taburan gemintang langit malam kerlip benderang lampu kota ketinggiankota memiliki bukit bintang ramai dipadati kawula muda menikmati keindahan malam bukit bintang sempurna menikmati senja malam
113,Gedung Agung Yogyakarta,"Istana Yogyakarta yang dikenal dengan nama Gedung Agung (bahasa Jawa: ꦒꦼꦝꦺꦴꦁ​ꦄꦒꦼꦁ, translit. Gedhong Ageng) terletak di pusat keramaian kota, tepatnya di ujung selatan Jalan Ahmad Yani dahulu dikenal dengan Jalan Margomulyo. Kawasan istana terletak di Kelurahan Ngupasan, Kecamatan Gondomanan, Kota Yogyakarta, dan berada pada ketinggian 120 m dari permukaan laut. Kompleks istana ini menempati lahan seluas 43.585 m².",Budaya,Yogyakarta,https://cdn.idntimes.com/content-images/community/2021/08/800px-gedung-agung-27dcb5c751802c237b989cc28e8f84f0-fb8ad2d0fc8f4aa976a0acc19bcbb9d4.jpg,istana yogyakarta dikenal nama gedung agung bahasa jawa translit gedhong ageng terletak pusat keramaian kota tepatnya ujung selatan jalan ahmad yani dikenal jalan margomulyo kawasan istana terletak kelurahan ngupasan kecamatan gondomanan kota yogyakarta ketinggian 120 m permukaan laut kompleks istana menempati lahan seluas 43585 m
114,The Lost World Castle,"The Lost World Castle merupakan salah satu objek wisata di kawasan lereng Gunung Merapi yang terletak di Dusun Petung, Desa Kepuharjo Cangkringan, Sleman, Daerah Istimewa Yogyakarta, Indonesia. Objek wisata ini dibangun menyerupai Benteng Takeshi dan dibangun di atas lahan 1,3 hektare pada tahun 2016.Pengunjung yang ingin memasuki kawasan The Lost World Castle akan dikenakan biaya sebesar Rp 25.000 tiap orang dan belum termasuk biaya parkir. Biaya parkir mobil sebesar Rp5.000,00, sementara biaya parkir untuk sepeda motor sebesar Rp2.000,00.",Taman Hiburan,Yogyakarta,"https://ik.imagekit.io/tvlk/blog/2021/08/Rekomendasi-Wisata-Jogja-Instagramable-1-1024x768.jpg?tr=dpr-2,w-675",the lost world castle salah objek wisata kawasan lereng gunung merapi terletak dusun petung desa kepuharjo cangkringan sleman daerah istimewa yogyakarta indonesia objek wisata dibangun menyerupai benteng takeshi dibangun lahan 13 hektare 2016pengunjung memasuki kawasan the lost world castle dikenakan biaya rp 25000 orang biaya parkir biaya parkir mobil rp500000 biaya parkir sepeda motor rp200000
115,Monumen Sanapati,"Monumen Sanapati dibangun untuk memeringati 50 tahun persandian Indonesia di Yogyakarta. Persandian di Yogyakarta memiliki andil yang besar dalam mempertahankan kemerdekaan Negara Indonesia. Tercatat pada peristiwa Serangan Umum 1 Maret 1949, sandi buatan Roebiono masih digunakan untuk menyebarkan pesan pada dunia bahwa Indonesia masih ada dan masih bisa melawan. Selanjutnya, peristiwa tersebut dikenal dengan Peristiwa 6 jam di Yogyakarta. Monumen Sanapati terletak di kawasan Kotabaru, tepatnya di tengah persimpangan Jalan Abu Bakar Ali, di taman depan Gereja Santo Antonius. Bangunan Monumen Sanapati berbentuk segitiga berujung lancip menyerupai piramida dengan tinggi 3 meter dan lebar 2,5 meter. Monumen tersebut didesain oleh Drs Kasman dan diresmikan oleh Menteri Sekretaris Negara Republik Indonesia saat itu, Moerdiono, pada 4 April 1996, tepat pada Hari Persandian Indonesia. Pembangunan monument membutuhkan waktu satu bulan dan memakan biaya sebesar 25 juta rupiah.",Budaya,Yogyakarta,https://tse4.mm.bing.net/th?id=OIP.fvxKHHW55hob8Mb45usM8QHaE6&pid=Api&P=0&h=180,monumen sanapati dibangun memeringati 50 persandian indonesia yogyakarta persandian yogyakarta memiliki andil mempertahankan kemerdekaan negara indonesia tercatat peristiwa serangan 1 maret 1949 sandi buatan roebiono menyebarkan pesan dunia indonesia melawan peristiwa dikenal peristiwa 6 jam yogyakarta monumen sanapati terletak kawasan kotabaru tepatnya persimpangan jalan abu bakar ali taman gereja santo antonius bangunan monumen sanapati berbentuk segitiga berujung lancip menyerupai piramida 3 meter lebar 25 meter monumen didesain drs kasman diresmikan menteri sekretaris negara republik indonesia moerdiono 4 april 1996 persandian indonesia pembangunan monument membutuhkan memakan biaya 25 juta rupiah
116,Jurang Tembelan Kanigoro,"Jurang Tembelan Kanigoro berada di Desa Wisata Mangunan, Dlingo, Bantul. Familiar dengan Desa Mangunan, bukan? Kawasan ini memang memiliki tempat wisata bagus yang murah. Termasuk Jurang Tembelan Kanigoro yang berada tidak jauh dari Kebun Buah Mangunan atau Bukit Panguk Kediwung. Dari Jogja, arahkan kendaraan menuju Jalan Imogiri Timur, setelah sampai di pertigaan dekat Pasar Imogiri ikuti arah menuju Mangunan. Untuk menuju ke sana, cek terlebih dahulu kondisi kendaraan. Jalanan yang naik turun serta tikungan tajam, harus diwaspadai. Bagi yang menggunakan kendaraan besar seperti bus, diharapkan memutar melewati Bukit Bintang Gunung Kidul. Selain itu, selalu berhati-hati dan tetap fokus selama berkendara.",Taman Hiburan,Yogyakarta,https://www.alodiatour.com/wp-content/uploads/2018/11/Harga-Tiket-Jurang-Tembelan.jpg,jurang tembelan kanigoro desa wisata mangunan dlingo bantul familiar desa mangunan kawasan memiliki wisata bagus murah jurang tembelan kanigoro kebun buah mangunan bukit panguk kediwung jogja arahkan kendaraan jalan imogiri timur pertigaan pasar imogiri ikuti arah mangunan cek kondisi kendaraan jalanan turun tikungan tajam diwaspadai kendaraan bus diharapkan memutar melewati bukit bintang gunung kidul berhatihati fokus berkendara
117,The World Landmarks - Merapi Park Yogyakarta,"Merapi Park merupakan salah satu tempat wisata di Yogyakarta yang terletak di Jalan Kaliurang km 22, Hargobinangun, Kecamatan Pakem, Kabupaten Sleman. Pengoperasian Merapi Park dimulai sejak tanggal 25 Juni 2017. Fasilitas yang tersedia meliputi tempat pengambilan foto",Taman Hiburan,Yogyakarta,https://www.merapiadventure.com/images/news/resize_50275theworldlandmarksmerapipark.jpg,merapi park salah wisata yogyakarta terletak jalan kaliurang km 22 hargobinangun kecamatan pakem kabupaten sleman pengoperasian merapi park tanggal 25 juni 2017 fasilitas tersedia meliputi pengambilan foto
118,Museum Sonobudoyo Unit I,"Museum Sonobudoyo adalah museum dan perpustakaan sejarah dan budaya Jawa di Yogyakarta, Indonesia. Museum ini berisi koleksi artefak Jawa terlengkap, setelah Museum Nasional di Jakarta. Selain keramik era Neolitikum dan patung perunggu abad ke-8, museum ini juga menyimpan koleksi wayang, berbagai senjata kuno (seperti keris), dan topeng Jawa. Museum Sonobudoyo terdiri dari dua unit, Unit I terletak di Jalan Trikora No. 6 Yogyakarta, dan Unit II terletak di Ndalem Condrokiranan, Wijilan, di sebelah timur alun-alun utama (utara) kota.
",Budaya,Yogyakarta,https://jogjatourholic.com/wp-content/uploads/2022/12/museum-sonobudoyo-2-scaled.jpg,museum sonobudoyo museum perpustakaan sejarah budaya jawa yogyakarta indonesia museum berisi koleksi artefak jawa terlengkap museum nasional jakarta keramik era neolitikum patung perunggu abad ke8 museum menyimpan koleksi wayang senjata kuno keris topeng jawa museum sonobudoyo unit unit i terletak jalan trikora no 6 yogyakarta unit ii terletak ndalem condrokiranan wijilan sebelah timur alunalun utama utara kota
119,Lava Bantal,"Wilayah DIY menawarkan sejumlah potensi wisata, terlebih pariwisata berbasis sungai. Salah satunya yang kini menjadi salah satu favorut wisatawan adalah Lava Bantal yang berada di Kecamatan Berbah, Kabupaten Sleman. Sesuai namanya, objek wisata ini menawarkan batuan yang diduga berasal dari lava pijar dari gunung api bawah laut yang mengering selama kurun waktu ratusan tahun lalu. Terhampar di Sungai Opak, batuan tersebut menjadi pemandangan unik yang mampu menyita perhatian para pelancong. Konon keberadaan Lava Bantal berkontribusi besar terhadap terbentuknya Pulau Jawa. Fenomena alam seperti yang terjadi di Lava Bantal ini sangat jarang terjadi. Di Pulau Jawa fenomena sejenis hanya bisa ditemukan di Karangsambung (Kebumen), Ciletuh (Jawa Barat), dan di Berbah (DIY). Dengan latar belakang sejarah geologi yang panjang, sejak 2 Oktober 2014 silam pemerintah telah menetapkan objek wisata ini sebagai geo heritage. Artinya, semua keunikan geologis yang ada di objek wisata tersebut tergolong sebagai objek yang dilindungi oleh pemerintah.",Budaya,Yogyakarta,https://salsawisata.com/wp-content/uploads/2022/08/Lava-Bantal.jpg,wilayah diy menawarkan potensi wisata pariwisata berbasis sungai salah satunya salah favorut wisatawan lava bantal kecamatan berbah kabupaten sleman sesuai namanya objek wisata menawarkan batuan diduga berasal lava pijar gunung api laut mengering kurun ratusan terhampar sungai opak batuan pemandangan unik menyita perhatian pelancong konon keberadaan lava bantal berkontribusi terbentuknya pulau jawa fenomena alam lava bantal jarang pulau jawa fenomena sejenis ditemukan karangsambung kebumen ciletuh jawa barat berbah diy latar sejarah geologi 2 oktober 2014 silam pemerintah menetapkan objek wisata geo heritage keunikan geologis objek wisata tergolong objek dilindungi pemerintah
120,Bukit Panguk Kediwung,"Bukit Panguk Kediwung adalah salah satu obyek wisata yang menawarkan pemandangan alam dari ketinggian. Jika dibandingkan dengan obyek wisata perbukitan lain di Bantul memang Bukit Panguk Kediwung termasuk baru karena dibuka pada tahun 2016. Namun jangan salah, lokasi ini sudah mencuri hati banyak pengunjung dari dalam maupun luar kota. Bukit Panguk Kediwung berlokasi di Kediwung, Mangunan, Dlingo, Bantul, Yogyakarta. Jangan khawatir untuk tersesat karena di sepanjang jalan menuju ke lokasi kita akan melihat beberapa papan petunjuk. Kurang lebih berjarak 20 km dari pusat Kota Yogyakarta. Dari pusat Kota Yogyakarta anda bisa bergerak menuju ke selatan tepatnya ke arah Jalan Imogiri Timur, ikuti jalan hingga menemukan Pasar Imogiri, lalu belok kiri dan lanjutkan perjalanan menuju ke arah Dlingo, dari sana anda akan mulai melihat petunjuk jalan menuju Bukit Panguk Kediwung. Akses jalan menuju Bukit Panguk Kediwung sudah diaspal halus hanya saja konturnya sedikit naik turun namun masih dalam kategori aman. Sangat disarankan untuk menggunakan kendaraan pribadi karena akses ke sini menggunakan kendaraan umum cukup sulit.",Budaya,Yogyakarta,https://jogjacars.com/wp-content/uploads/2020/01/Bukit-Panguk-Kadiwung-3.jpg,bukit panguk kediwung salah obyek wisata menawarkan pemandangan alam ketinggian dibandingkan obyek wisata perbukitan bantul bukit panguk kediwung dibuka 2016 salah lokasi mencuri hati pengunjung kota bukit panguk kediwung berlokasi kediwung mangunan dlingo bantul yogyakarta khawatir tersesat jalan lokasi papan petunjuk berjarak 20 km pusat kota yogyakarta pusat kota yogyakarta bergerak selatan tepatnya arah jalan imogiri timur ikuti jalan menemukan pasar imogiri belok kiri lanjutkan perjalanan arah dlingo petunjuk jalan bukit panguk kediwung akses jalan bukit panguk kediwung diaspal halus konturnya turun kategori aman disarankan kendaraan pribadi akses kendaraan sulit
